                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.38573,                 0.5626,                0.25925,                0.97898,                0.99407,                0.98947,                   0.99,                0.95301,                0.99407,                0.98947,                   0.99,                0.94693,                0.20905,                0.34936,                0.20332,                0.73491,             0.00044576,             0.00044576,             0.00044576
                     77,                 0.4012,                0.57346,                0.27278,                0.98561,                 0.9943,                0.99398,                0.98979,                0.96255,                 0.9943,                0.99398,                0.98979,                0.94969,                0.19597,                0.35632,                0.17396,                0.71443,             0.00042925,             0.00042925,             0.00042925
                     78,                0.39832,                0.57445,                 0.2686,                0.97948,                0.99412,                0.99474,                0.99105,                0.96433,                0.99412,                0.99474,                0.99105,                0.95418,                0.19128,                0.30688,                0.15925,                0.71133,             0.00041275,             0.00041275,             0.00041275
                     79,                0.38555,                0.53852,                0.26009,                0.97663,                0.99336,                0.99455,                0.99115,                0.96436,                0.99336,                0.99455,                0.99115,                 0.9562,                 0.1939,                0.34656,                0.15467,                0.71497,             0.00039625,             0.00039625,             0.00039625
                     80,                0.39437,                0.58052,                0.26634,                0.98352,                0.99418,                0.98947,                   0.99,                0.96296,                0.99418,                0.98947,                   0.99,                0.95739,                0.18037,                 0.3137,                0.14912,                0.70469,             0.00037974,             0.00037974,             0.00037974
                     81,                0.38966,                0.58749,                0.26138,                0.97732,                0.98904,                0.99474,                0.99015,                0.96471,                0.98819,                0.99389,                0.99014,                 0.9507,                0.17527,                0.35814,                0.14806,                0.70095,             0.00036324,             0.00036324,             0.00036324
                     82,                0.38806,                0.54126,                0.25396,                0.97827,                  0.989,                0.99442,                0.98999,                0.96035,                  0.989,                0.99442,                0.98999,                0.95389,                 0.1772,                0.30832,                0.15435,                 0.7017,             0.00034674,             0.00034674,             0.00034674
                     83,                0.38331,                0.57548,                0.25848,                0.97421,                0.99418,                0.99465,                0.99011,                0.96233,                0.99418,                0.99465,                0.99011,                0.95478,                0.18167,                0.30118,                0.15064,                 0.7033,             0.00033023,             0.00033023,             0.00033023
                     84,                 0.3828,                0.56501,                0.24907,                0.97564,                0.99428,                 0.9945,                   0.99,                0.96028,                0.99428,                 0.9945,                   0.99,                0.95279,                0.19303,                0.32408,                0.16163,                0.71029,             0.00031373,             0.00031373,             0.00031373
                     85,                0.38593,                0.55056,                0.24908,                0.97466,                 0.9941,                0.98947,                0.98959,                0.96147,                 0.9941,                0.98947,                0.98962,                0.95371,                0.18017,                0.31327,                0.15165,                0.69712,             0.00029723,             0.00029723,             0.00029723
